Bar,05:08,05:08
Šušanj,05:11,05:12
Sutomore,05:20,05:21
Crmnica,5:29,05:30
Virpazar,05:33,05:34
Vranjina,05:39,05:40
Zeta,05:43,05:48
Morača,05:53,05:54
Golubovci,05:57,05:58
Aerodrom,06:01,06:02
Podgorica,06:09,06:22
Zlatica,06:27,06:28
Bioče,06:40,06:41
Bratonožići,06:53,06:54
Lutovo,07:06,07:10
Kruševački Potok,07:20,07:21
Trebešica,07:28,07:29
Selište	07:35,07:36
Kos,07:39,07:40
Mateševo,07:43,07:43
Padež,07:46,07:47
Kolašin,07:50,07:51
Oblutak,07:56,07:57
Trebaljevo,08:00,08:01
Štitarička Rijeka,08:06,08:07
Mojkovac,08:10,08:11
Žari,08:15,08:16
Mijatovo Kolo,08:19,08:20
Slijepač Most,08:24,08:24
Ravna Rijeka,08:26,08:27
Kruševo,08:31,08:32
Lješnica,08:36,08:38
Bijelo Polje,08:42,00:00
